dateTime,mm 15min
2018-10-08T01:00:00,0
2018-10-08T01:15:00,0
2018-10-08T01:30:00,0
2018-10-08T01:45:00,0
2018-10-08T02:00:00,0
2018-10-08T02:15:00,0
2018-10-08T02:30:00,0
2018-10-08T02:45:00,0
2018-10-08T03:00:00,0
2018-10-08T03:15:00,0
2018-10-08T03:30:00,0
2018-10-08T03:45:00,0
2018-10-08T04:00:00,0
2018-10-08T04:15:00,0
2018-10-08T04:30:00,0
2018-10-08T04:45:00,0
2018-10-08T05:00:00,0
2018-10-08T05:15:00,0
2018-10-08T05:30:00,0
2018-10-08T05:45:00,0.23
2018-10-08T06:00:00,0.08
2018-10-08T06:15:00,0.08
2018-10-08T06:30:00,0.16
2018-10-08T06:45:00,0.13
2018-10-08T07:00:00,0.06
2018-10-08T07:15:00,0.03
2018-10-08T07:30:00,0
2018-10-08T07:45:00,0.04
2018-10-08T08:00:00,0
2018-10-08T08:15:00,0
2018-10-08T08:30:00,0
2018-10-08T08:45:00,0
2018-10-08T09:00:00,0
2018-10-08T09:15:00,0
2018-10-08T09:30:00,0
2018-10-08T09:45:00,0
2018-10-08T10:00:00,0
2018-10-08T10:15:00,0
2018-10-08T10:30:00,0
2018-10-08T10:45:00,0
2018-10-08T11:00:00,0
2018-10-08T11:15:00,0
2018-10-08T11:30:00,0
2018-10-08T11:45:00,0
2018-10-08T12:00:00,0
2018-10-08T12:15:00,0
2018-10-08T12:30:00,0
2018-10-08T12:45:00,0
2018-10-08T13:00:00,0
2018-10-08T13:15:00,0
2018-10-08T13:30:00,0
2018-10-08T13:45:00,0
2018-10-08T14:00:00,0
2018-10-08T14:15:00,0
2018-10-08T14:30:00,0
2018-10-08T14:45:00,0
2018-10-08T15:00:00,0
2018-10-08T15:15:00,0
2018-10-08T15:30:00,0
2018-10-08T15:45:00,0
2018-10-08T16:00:00,0
2018-10-08T16:15:00,0
2018-10-08T16:30:00,0
2018-10-08T16:45:00,0
2018-10-08T17:00:00,0
2018-10-08T17:15:00,0
2018-10-08T17:30:00,0
2018-10-08T17:45:00,0
2018-10-08T18:00:00,0
2018-10-08T18:15:00,0
2018-10-08T18:30:00,0
2018-10-08T18:45:00,0
2018-10-08T19:00:00,0
2018-10-08T19:15:00,0
2018-10-08T19:30:00,0
2018-10-08T19:45:00,0
2018-10-08T20:00:00,0
2018-10-08T20:15:00,0
2018-10-08T20:30:00,0
2018-10-08T20:45:00,0
2018-10-08T21:00:00,0
2018-10-08T21:15:00,0
2018-10-08T21:30:00,0
2018-10-08T21:45:00,0
2018-10-08T22:00:00,0
2018-10-08T22:15:00,0
2018-10-08T22:30:00,0
2018-10-08T22:45:00,0
2018-10-08T23:00:00,0
2018-10-08T23:15:00,0
2018-10-08T23:30:00,0
2018-10-08T23:45:00,0
2018-10-09T00:00:00,0
2018-10-09T00:15:00,0
2018-10-09T00:30:00,0
2018-10-09T00:45:00,0
2018-10-09T01:00:00,0
2018-10-09T01:15:00,0
2018-10-09T01:30:00,0
2018-10-09T01:45:00,0
2018-10-09T02:00:00,0
2018-10-09T02:15:00,0
2018-10-09T02:30:00,0
2018-10-09T02:45:00,0
2018-10-09T03:00:00,0
2018-10-09T03:15:00,0
2018-10-09T03:30:00,0
2018-10-09T03:45:00,0
2018-10-09T04:00:00,0
2018-10-09T04:15:00,0
2018-10-09T04:30:00,0
2018-10-09T04:45:00,0
2018-10-09T05:00:00,0
2018-10-09T05:15:00,0
2018-10-09T05:30:00,0
2018-10-09T05:45:00,0
2018-10-09T06:00:00,0
2018-10-09T06:15:00,0
2018-10-09T06:30:00,0
2018-10-09T06:45:00,0
2018-10-09T07:00:00,0
2018-10-09T07:15:00,0
2018-10-09T07:30:00,0
2018-10-09T07:45:00,0
2018-10-09T08:00:00,0
2018-10-09T08:15:00,0
2018-10-09T08:30:00,0
2018-10-09T08:45:00,0
2018-10-09T09:00:00,0.05
2018-10-09T09:15:00,0
2018-10-09T09:30:00,0.13
2018-10-09T09:45:00,0.18
2018-10-09T10:00:00,0.08
2018-10-09T10:15:00,0.28
2018-10-09T10:30:00,0.15
2018-10-09T10:45:00,0
2018-10-09T11:00:00,0.04
2018-10-09T11:15:00,0.01
2018-10-09T11:30:00,0
2018-10-09T11:45:00,0
2018-10-09T12:00:00,0
2018-10-09T12:15:00,0
2018-10-09T12:30:00,0
2018-10-09T12:45:00,0
2018-10-09T13:00:00,0
2018-10-09T13:15:00,0
2018-10-09T13:30:00,0
2018-10-09T13:45:00,0
2018-10-09T14:00:00,0
2018-10-09T14:15:00,0
2018-10-09T14:30:00,0
2018-10-09T14:45:00,0
2018-10-09T15:00:00,0
2018-10-09T15:15:00,0
2018-10-09T15:30:00,0
2018-10-09T15:45:00,0
2018-10-09T16:00:00,0
2018-10-09T16:15:00,0
2018-10-09T16:30:00,0
2018-10-09T16:45:00,0
2018-10-09T17:00:00,0
2018-10-09T17:15:00,0
2018-10-09T17:30:00,0
2018-10-09T17:45:00,0
2018-10-09T18:00:00,0
2018-10-09T18:15:00,0
2018-10-09T18:30:00,0
2018-10-09T18:45:00,0
2018-10-09T19:00:00,0
2018-10-09T19:15:00,0
2018-10-09T19:30:00,0
2018-10-09T19:45:00,0
2018-10-09T20:00:00,0
2018-10-09T20:15:00,0
2018-10-09T20:30:00,0
2018-10-09T20:45:00,0
2018-10-09T21:00:00,0
2018-10-09T21:15:00,0
2018-10-09T21:30:00,0
2018-10-09T21:45:00,0
2018-10-09T22:00:00,0
2018-10-09T22:15:00,0
2018-10-09T22:30:00,0
2018-10-09T22:45:00,0
2018-10-09T23:00:00,0
