"","h","lower","median","upper"
"187",0.606,0.184984776768467,0.243573594747491,0.307790671224727
"188",0.607,0.188147039561792,0.246711787298536,0.310549557723413
"189",0.608,0.191309302355117,0.249849979849581,0.313308444222098
"190",0.609,0.194471565148442,0.252988172400626,0.316067330720783
"191",0.61,0.197633827941767,0.256126364951671,0.318826217219468
"192",0.611,0.200796090735092,0.259264557502716,0.321585103718153
"193",0.612,0.203958353528417,0.262402750053761,0.324343990216838
"194",0.613,0.207120616321742,0.265540942604806,0.327102876715523
"195",0.614,0.210282879115067,0.268679135155852,0.329861763214208
"196",0.615,0.213445141908392,0.271817327706897,0.332620649712893
"197",0.616,0.216607404701717,0.274955520257942,0.335379536211578
"198",0.617,0.219769667495042,0.278093712808987,0.338138422710263
"199",0.618,0.222931930288367,0.281231905360032,0.340897309208948
"200",0.619,0.226094193081692,0.284370097911077,0.343656195707633
"201",0.62,0.229256455875017,0.287508290462122,0.346415082206318
"202",0.621,0.232418718668342,0.290646483013167,0.349173968705003
"203",0.622,0.235580981461667,0.293784675564212,0.351932855203688
"204",0.623,0.238743244254992,0.296922868115257,0.354691741702373
"205",0.624,0.241905507048317,0.300061060666302,0.357450628201059
"206",0.625,0.245067769841642,0.303199253217347,0.360209514699744
"207",0.626,0.248230032634967,0.306337445768392,0.362968401198429
"208",0.627,0.251392295428292,0.309475638319437,0.365727287697114
"209",0.628,0.254554558221617,0.312613830870482,0.368486174195799
"210",0.629,0.257716821014942,0.315752023421527,0.371245060694484
"211",0.63,0.260879083808267,0.318890215972572,0.374003947193169
"212",0.631,0.264041346601592,0.322028408523617,0.376762833691854
"213",0.632,0.267203609394917,0.325166601074662,0.379521720190539
"214",0.633,0.270365872188242,0.328304793625707,0.382280606689224
"215",0.634,0.273528134981567,0.331442986176752,0.385039493187909
"216",0.635,0.276690397774892,0.334581178727797,0.387798379686594
"217",0.636,0.279852660568217,0.337719371278842,0.390557266185279
"218",0.637,0.283189664858529,0.340879879362852,0.393894856687001
"219",0.638,0.286601558361837,0.344049951246703,0.397480463190024
"220",0.639,0.290013451865144,0.347220023130554,0.401066069693047
"221",0.64,0.293425345368451,0.350390095014405,0.40465167619607
"222",0.641,0.296918790844943,0.353678302210294,0.408618606691456
"223",0.642,0.300534564281211,0.357143712374241,0.413157523175388
"224",0.643,0.304150337717478,0.360609122538188,0.417696439659319
"225",0.644,0.307766111153746,0.364074532702135,0.42223535614325
"226",0.645,0.311381884590014,0.367539942866082,0.426774272627181
"227",0.646,0.314997658026282,0.371005353030029,0.431313189111112
"228",0.647,0.31861343146255,0.374470763193976,0.435852105595043
"229",0.648,0.322229204898818,0.377936173357923,0.440391022078975
"230",0.649,0.325844978335086,0.381401583521869,0.444929938562906
"231",0.65,0.329460751771354,0.384866993685816,0.449468855046837
"232",0.651,0.333076525207622,0.388332403849763,0.454007771530768
"233",0.652,0.336692298643889,0.39179781401371,0.458546688014699
"234",0.653,0.340308072080157,0.395263224177657,0.46308560449863
"235",0.654,0.343923845516425,0.398728634341604,0.467624520982562
"236",0.655,0.347515627614441,0.402249526159136,0.472250875320546
"237",0.656,0.350891487668189,0.406269752858935,0.477664170345008
"238",0.657,0.354267347721937,0.410289979558735,0.483077465369471
"239",0.658,0.357643207775685,0.414310206258534,0.488490760393933
"240",0.659,0.361019067829433,0.418330432958333,0.493904055418395
"241",0.66,0.364394927883181,0.422350659658132,0.499317350442857
"242",0.661,0.367770787936929,0.426370886357931,0.50473064546732
"243",0.662,0.371146647990677,0.43039111305773,0.510143940491782
"244",0.663,0.374522508044425,0.43441133975753,0.515557235516245
"245",0.664,0.377898368098173,0.438431566457329,0.520970530540707
"246",0.665,0.381274228151921,0.442451793157128,0.52638382556517
"247",0.666,0.384650088205669,0.446472019856927,0.531797120589631
"248",0.667,0.388025948259417,0.450492246556727,0.537210415614094
"249",0.668,0.391401808313165,0.454512473256525,0.542623710638556
"250",0.669,0.394777668366913,0.458532699956325,0.548037005663019
"251",0.67,0.398153528420661,0.462552926656124,0.553450300687481
"252",0.671,0.401529388474409,0.466573153355923,0.558863595711944
"253",0.672,0.404905248528157,0.470593380055722,0.564276890736406
"254",0.673,0.408281108581905,0.474613606755522,0.569690185760869
"255",0.674,0.411656968635653,0.478633833455321,0.57510348078533
"256",0.675,0.415032828689401,0.48265406015512,0.580516775809793
"257",0.676,0.418408688743149,0.486674286854919,0.585930070834255
"258",0.677,0.421784548796897,0.490694513554719,0.591343365858718
"259",0.678,0.425160408850645,0.494714740254517,0.59675666088318
"260",0.679,0.428536268904393,0.498734966954317,0.602169955907643
"261",0.68,0.431912128958141,0.502755193654116,0.607583250932105
"262",0.681,0.435287989011889,0.506775420353916,0.612996545956568
"263",0.682,0.438663849065637,0.510795647053714,0.618409840981029
"264",0.683,0.442039709119385,0.514815873753514,0.623823136005492
"265",0.684,0.445415569173133,0.518836100453313,0.629236431029954
"266",0.685,0.448791429226881,0.522856327153112,0.634649726054417
"267",0.686,0.452167289280629,0.526876553852911,0.640063021078879
"268",0.687,0.455543149334377,0.530896780552711,0.645476316103342
"269",0.688,0.459372002689662,0.535775923685791,0.65197840898588
"270",0.689,0.46321647650362,0.540684684626916,0.658518046622146
"271",0.69,0.467060950317578,0.54559344556804,0.665057684258411
"272",0.691,0.470905424131537,0.550502206509165,0.671597321894677
"273",0.692,0.474749897945495,0.555410967450289,0.678136959530942
"274",0.693,0.478594371759454,0.560319728391414,0.684676597167208
"275",0.694,0.482438845573412,0.565228489332538,0.691216234803472
"276",0.695,0.486283319387371,0.570137250273663,0.697755872439738
"277",0.696,0.490127793201329,0.575046011214787,0.704295510076003
"278",0.697,0.493972267015288,0.579954772155912,0.710835147712269
"279",0.698,0.497816740829246,0.584863533097036,0.717374785348534
"280",0.699,0.501661214643205,0.589772294038161,0.7239144229848
"281",0.7,0.505505688457163,0.594681054979285,0.730454060621065
"282",0.701,0.509350162271122,0.59958981592041,0.736993698257331
"283",0.702,0.51319463608508,0.604498576861534,0.743533335893596
"284",0.703,0.517039109899039,0.609407337802659,0.750072973529862
"285",0.704,0.520883583712997,0.614316098743783,0.756612611166126
"286",0.705,0.524728057526956,0.619224859684908,0.763152248802393
"287",0.706,0.528572531340914,0.624133620626032,0.769691886438657
"288",0.707,0.532417005154873,0.629042381567157,0.776231524074923
"289",0.708,0.536261478968831,0.633951142508281,0.782771161711188
"290",0.709,0.540105952782789,0.638859903449405,0.789310799347454
"291",0.71,0.543950426596748,0.64376866439053,0.795850436983719
"292",0.711,0.547794900410706,0.648677425331654,0.802390074619984
"293",0.712,0.551639374224665,0.653586186272779,0.80892971225625
"294",0.713,0.555483848038623,0.658494947213903,0.815469349892515
"295",0.714,0.559328321852582,0.663403708155028,0.822008987528781
"296",0.715,0.56317279566654,0.668312469096152,0.828548625165046
"297",0.716,0.567017269480499,0.673221230037277,0.835088262801311
"298",0.717,0.570861743294457,0.678129990978402,0.841627900437577
"299",0.718,0.574706217108416,0.683038751919526,0.848167538073842
"300",0.719,0.578550690922374,0.68794751286065,0.854707175710108
"301",0.72,0.583152023330388,0.69360120589662,0.862033703315126
"302",0.721,0.587904727457213,0.699403885351558,0.869517608913895
"303",0.722,0.592657431584038,0.705206564806497,0.877001514512664
"304",0.723,0.597410135710864,0.711009244261435,0.884485420111433
"305",0.724,0.602162839837689,0.716811923716374,0.891969325710202
"306",0.725,0.606915543964514,0.722614603171312,0.899453231308971
"307",0.726,0.611668248091339,0.728417282626251,0.90693713690774
"308",0.727,0.616420952218165,0.734219962081189,0.914421042506509
"309",0.728,0.62117365634499,0.740022641536128,0.921904948105278
"310",0.729,0.625926360471815,0.745825320991066,0.929388853704047
"311",0.73,0.63067906459864,0.751628000446005,0.936872759302816
"312",0.731,0.635431768725465,0.757430679900943,0.944356664901585
"313",0.732,0.640184472852291,0.763233359355882,0.951840570500354
"314",0.733,0.644937176979116,0.76903603881082,0.959324476099123
"315",0.734,0.649689881105941,0.774838718265759,0.966808381697892
"316",0.735,0.654442585232766,0.780641397720697,0.974292287296661
"317",0.736,0.659195289359591,0.786444077175636,0.98177619289543
"318",0.737,0.663947993486417,0.792246756630574,0.989260098494199
"319",0.738,0.668700697613242,0.798049436085513,0.996744004092968
"320",0.739,0.673453401740067,0.803852115540451,1.00422790969174
"321",0.74,0.678206105866892,0.80965479499539,1.01171181529051
"322",0.741,0.682958809993718,0.815457474450328,1.01919572088928
"323",0.742,0.687711514120543,0.821260153905267,1.02667962648804
"324",0.743,0.692464218247368,0.827062833360205,1.03416353208681
